business_id,name,address,city,state,type,statut,date_statut,latitude,longitude,x,y,gps
124252,BRASSERIE L'ESPACE PUBLIC,2287   Avenue Letourneux ,Montréal,"Québec, Canada",Brasserie,Ouvert,20220825,45.553923,-73.544202,301348.94,5046002.17,"45.5540961,-73.5441366"
124253,TOUT EN FROMAGE (CONCESSION),7586   Rue Saint-Hubert ,Montréal,"Québec, Canada",Épicerie,Fermé,20230803,45.543553,-73.619419,295474.57,5044855.65,"45.5434535,-73.619592"
124254,DEPANNEUR MCGILL EXPRESS,1253  E-3 Avenue McGill College ,Montréal,"Québec, Canada",Épicerie,Ouvert,20211125,45.50186,-73.570823,299265.32,5040217.85,"45.503205,-73.5738227"
124255,ROTISSERIE ST-HUBERT #68,10520   Rue Lajeunesse ,Montréal,"Québec, Canada",Restaurant,Ouvert,20211125,45.554396,-73.665396,291886.75,5046066.99,"45.554223,-73.6652355"
124256,BOULANGERIE MR PINCHOT,4354   Rue De Brébeuf ,Montréal,"Québec, Canada",Boulangerie,Fermé,20250107,45.528332,-73.575954,298867.13,5043160.05,"45.5282026,-73.5760003"
124258,DEPANNEUR IM,50   Rue Beaubien Est,Montréal,"Québec, Canada",Épicerie,Fermé changement d'exploitant,20240530,45.530929,-73.607836,296377.17,5043451.47,"45.5309141,-73.6076752"
124267,GRILLADE NOSTOS,9540   Boulevard Acadie ,Montréal,"Québec, Canada",Restaurant,Ouvert,20211129,45.534588,-73.661441,292191.05,5043865.14,"45.5341693,-73.6618367"
124269,CHLOE ROBI,505  CC-746 Rue Sainte-Catherine Est,Montréal,"Québec, Canada",Cuisine domestique,Fermé,20220120,45.514683,-73.559643,300140.07,5041642.1,"45.5202567,-73.5545203"
124281,MARCHE BRANCHE D'OLIVIER,1376   Avenue Mont-Royal Est,Montréal,"Québec, Canada",Épicerie avec préparation,Fermé changement d'exploitant,20240510,45.530594,-73.576769,298803.77,5043411.48,"45.5305688,-73.5766075"
124284,CAFE SOLIT,2000   Rue Mansfield ,Montréal,"Québec, Canada",Restaurant,Ouvert,20220613,45.502262,-73.573484,299057.46,5040262.62,"45.5023278,-73.5739122"
124285,BOULANGERIE AU PAIN DORE MCGILL,2055   Boulevard Robert-Bourassa ,Montréal,"Québec, Canada",Boulangerie,Ouvert,20220614,45.504446,-73.572366,299145.01,5040505.3,"45.5045222,-73.5721852"
124286,TRATTORIA LUCIANO,759   Rue Commune Ouest,Montréal,"Québec, Canada",Épicerie,Fermé,20230817,45.496091,-73.553068,300652.4,5039575.64,"45.4961804,-73.5531998"
124287,CAFE BODEGA MTL,248   Rue Montagne ,Montréal,"Québec, Canada",Épicerie avec préparation,Ouvert,20211201,45.492015,-73.560612,300062.52,5039123.06,
124776,EPICERIE GOUT D'AFRIQUE,6996   Rue Sherbrooke Est,Montréal,"Québec, Canada",Épicerie avec préparation,Ouvert,20220425,45.587163,-73.540471,301642.03,5049695.97,"45.5869196,-73.5402731"
124312,RESTAURANT LAS PALMAS,632   Rue Jarry Est,Montréal,"Québec, Canada",Restaurant,Ouvert,20220614,45.544727,-73.627793,294820.89,5044987.17,"45.5446577,-73.6276405"
124777,DISTRIBUTRICES SLF,2755   Rue Viau ,Montréal,"Québec, Canada",Distributrice automatique,Ouvert,20220426,45.563166,-73.547548,301088.29,5047029.47,"45.5636044,-73.5478616"
124778,CAFE BOUTIQUE (CENTRE SPORTIF PARC OLYMPIQUE),3200   Rue Viau ,Montréal,"Québec, Canada",Restaurant service rapide,Fermé changement d'exploitant,20230210,45.563888,-73.550146,300885.54,5047109.87,"45.5631696,-73.5526984"
124779,FRUITERIE MONTANA,5340   Chemin Queen-Mary ,Montréal,"Québec, Canada",Épicerie avec préparation,Ouvert,20220426,45.482832,-73.629727,294658.7,5038108.91,"45.4827874,-73.6295727"
124781,RESTAURANT BEAU VILLAGE,640   Rue Jarry Ouest,Montréal,"Québec, Canada",Restaurant,Ouvert,20220426,45.530903,-73.635963,294180.24,5043451.93,"45.5308988,-73.635771"
124635,LES ALIMENTS ABIERTO (LOCAL DE PREPARATION),1206   Rue Stanley ,Montréal,"Québec, Canada",Boulangerie,Fermé,20230907,45.498401,-73.571667,299199.05,5039833.47,"45.4983311,-73.5719191"
124636,TACOS VICTOR CRESCENT,2145  2 Rue Crescent ,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20240216,45.498669,-73.578764,298644.41,5039863.78,"45.4974527,-73.5762351"
124637,RESTAURANT LA CHAMBRE,1608   Rue Sainte-Catherine Ouest,Montréal,"Québec, Canada",Restaurant,Fermé,20220718,45.494327,-73.578667,298651.54,5039381.25,"45.4941563,-73.5783708"
124638,TABLE DE QUARTIER SUD DE L'OUEST DE L'ILE (TQSOI),114   Avenue Donegani ,Pointe-Claire,"Québec, Canada",Organisme d'aide alimentaire,Fermé,20220610,45.449972,-73.79158,281992.76,5034490.44,"45.4497165,-73.7910242"
124639,KUTO (NDG),5999   Avenue Monkland ,Montréal,"Québec, Canada",Restaurant,Fermé,20230622,45.471241,-73.626776,294887.42,5036820.46,"45.4715516,-73.6269086"
124640,ESCONDITE MONKLAND,5626   Avenue Monkland ,Montréal,"Québec, Canada",Restaurant,Fermé,20250217,45.475228,-73.623147,295171.78,5037263.07,"45.4752489,-73.6229519"
124641,HINNAWI BROS BAGEL & CAFE,366   Rue Ontario Est,Montréal,"Québec, Canada",Restaurant,Ouvert,20220309,45.515864,-73.565266,299700.84,5041773.68,"45.5156211,-73.5651554"
124642,BOUCHERIE PROVISIONS (BERTHA'S),1142   Avenue Van Horne ,Outremont,"Québec, Canada",Restaurant,Ouvert,20220310,45.523364,-73.61233,296025.0,5042611.23,"45.5041447,-73.6293405"
124643,POKE MONSTER SAINT-CHARLES,2953   Boulevard Saint-Charles ,Kirkland,"Québec, Canada",Restaurant,Ouvert,20220504,45.448157,-73.85438,277079.72,5034308.46,"45.448846,-73.8538923"
124644,DEPANNEUR LAPIERRE,2034   Rue Lapierre ,LaSalle,"Québec, Canada",Épicerie avec préparation,Fermé changement d'exploitant,20221215,45.436786,-73.614733,295823.55,5032990.12,"45.4365449,-73.6150597"
124645,LES PAPI CHURROS (PLAQUE #FRY7327),5980   Rue De Jumonville ,Montréal,"Québec, Canada",Camion-cuisine,Ouvert,20220709,45.577671,-73.549989,300898.72,5048641.57,"45.5775366,-73.54981"
124646,STELLINA,410   Rue Saint-Jacques ,Montréal,"Québec, Canada",Restaurant,Ouvert,20220517,45.501896,-73.559896,300119.28,5040221.14,"45.5016633,-73.5598062"
124647,KOUZINA NIATA,221   Rue Saint-Viateur Ouest,Montréal,"Québec, Canada",Restaurant mets pour emporter,Ouvert,20220726,45.523099,-73.601403,296878.61,5042580.64,"45.5231228,-73.6016513"
124648,SAINT-HENRI MICRO-TORREFACTEUR,605   Rue Saint-Jacques ,Montréal,"Québec, Canada",Épicerie avec préparation,Ouvert,20220311,45.501059,-73.560581,300065.67,5040128.08,"45.5010671,-73.5608667"
124649,RESTAURANT  NOVELLA (LOCAL DE PRÉPARATION),1740   Boulevard René-Lévesque Ouest,Montréal,"Québec, Canada",Local de préparation,Ouvert,20220311,45.492531,-73.576154,298847.77,5039181.49,"45.4923346,-73.5760096"
124651,METRO PLUS DOMAINE,6550   Rue Sherbrooke Est,Montréal,"Québec, Canada",Supermarché,Fermé changement d'exploitant,20240527,45.58137,-73.543878,301375.84,5049052.35,"45.5819229,-73.5430549"
124652,LA GAUFRE ANTILLAISE (CUSINE DOMESTIQUE),2190  206 Rue Préfontaine ,Montréal,"Québec, Canada",Cuisine domestique,Fermé,20221101,45.54122,-73.550901,300824.94,5044590.74,"45.5432564,-73.5577686"
124656,T'AMI RESTAURANT,6542   Boulevard Saint-Laurent ,Montréal,"Québec, Canada",Restaurant,Ouvert,20220512,45.53113,-73.610515,296168.01,5043474.1,"45.5308198,-73.6102587"
124657,SEASONED DREAMS,3910   Boulevard Saint-Laurent ,Montréal,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20250310,45.516392,-73.578126,298696.21,5041833.33,"45.5162814,-73.5782885"
124658,COOP OCTET,4057   Boulevard Saint-Laurent ,Montréal,"Québec, Canada",Restaurant,Fermé,20220819,45.517109,-73.579715,298572.11,5041913.13,"45.5171298,-73.5794144"
124659,JUSTE NOUILLES,3181   Rue Masson ,Montréal,"Québec, Canada",Restaurant,Ouvert,20220315,45.550141,-73.573649,299049.44,5045583.56,"45.5501311,-73.5738593"
124660,LA BAGUETTE FARCIE,2117   Rue Saint-Louis ,St-Laurent,"Québec, Canada",Restaurant,Fermé changement d'exploitant,20240606,45.501301,-73.681124,290645.44,5040169.23,"45.5013867,-73.6817014"
